label,value
"Ability/Disability",209
"Ethnicity",389
"Gender",368
"Grade",411
"Neurodiversities",170
"Political belief",435
"Race",557
"Religion",99
"Sexual orientation",413
"Socioeconomic status",451
"Not applicable (There are no social divides at Andover)",33
"Other (please specify)",10
